Sr.No,ShortName,Name,Type,Allocation Type,Allocation,Product Exposure,Currency,Coverage-Counterparty,Coverage-Folder,Coverage-Portfolio,Time Band,,,,,,,,,,,,,
1,LIMIT_LD,Limit Loan Deposit,Entity,Finite," 10,00,00,000.00 ",PE_LD,USD,CPTY_CITI,,,999,,,,,,,,,,,,,
2,LIMIT_REPO,Limit Repo,Entity,Finite," 10,00,00,000.00 ",PE_REPO,USD,CPTY_JPM,,,999,,,,,,,,,,,,,
3,LIMIT_FXS,Limit FX SWAP,Entity,Finite," 10,00,00,000.00 ",PE_FXS,USD,CPTY_BOA,,,999,,,,,,,,,,,,,
4,LIMIT_FXO,Limit FX OTC Options,Entity,Finite," 10,00,00,000.00 ",PE_FXO,USD,Cpty_Reuters,,,999,,,,,,,,,,,,,
5,LIMIT_IRS,Limit Interest Rate Swaps,Entity,Finite," 10,00,00,000.00 ",PE_IRS,USD,CPTY_JPM,,,999,,,,,,,,,,,,,
6,LIMIT_BND,Limit BOND,Entity,Finite," 10,00,00,000.00 ",PE_BND,USD,Cpty_USGOV,,,999,,,,,,,,,,,,,
7,LIMIT_EQU,Limit EQUITY,Entity,Finite," 10,00,00,000.00 ",PE_EQU,USD,Cpty_Reuters,,,999,,,,,,,,,,,,,
8,LIMIT_LD1,Limit Loan Deposit1,Entity,Finite," 10,00,00,000.00 ",PE_LD1,CAD,Cpty_FG,,,999,,,,,,,,,,,,,
9,LIMIT_REPO1,Limit Repo1,Entity,Finite," 10,00,00,000.00 ",PE_REPO1,CAD,Cpty_COPA,,,999,,,,,,,,,,,,,
10,LIMIT_FXS1,Limit FX SWAP1,Entity,Finite," 10,00,00,000.00 ",PE_FXS1,EUR,CPTY_ DBG ,,,999,,,,,,,,,,,,,
11,LIMIT_FXO1,Limit FX OTC Options1,Entity,Finite," 10,00,00,000.00 ",PE_FXO1,EUR,cpty_Dan,,,999,,,,,,,,,,,,,
12,LIMIT_IRS1,Limit Interest Rate Swaps1,Entity,Finite," 10,00,00,000.00 ",PE_IRS1,EUR,Cpty_Bosch,,,999,,,,,,,,,,,,,
13,LIMIT_BND1,Limit BOND1,Entity,Finite," 10,00,00,000.00 ",PE_BND1,CAD,Cpty_BOM,,,999,,,,,,,,,,,,,
14,LIMIT_EQU1,Limit EQUITY1,Entity,Finite," 10,00,00,000.00 ",PE_EQU1,EUR,cpty_Dan,,,999,,,,,,,,,,,,,
15,LIMIT_LD2,Limit Loan Deposit2,Entity,Finite," 10,00,00,000.00 ",PE_LD2,BRL,Cpty_BDB,,,999,,,,,,,,,,,,,
16,LIMIT_REPO2,Limit Repo2,Entity,Finite," 10,00,00,000.00 ",PE_REPO2,PES,Cpty_AA,,,999,,,,,,,,,,,,,
17,LIMIT_FXS2,Limit FX SWAP2,Entity,Finite," 10,00,00,000.00 ",PE_FXS2,EUR,Cpty_Harrods,,,999,,,,,,,,,,,,,
18,LIMIT_FXO2,Limit FX OTC Options2,Entity,Finite," 10,00,00,000.00 ",PE_FXO2,GBP,Cpty_ING,,,999,,,,,,,,,,,,,
19,LIMIT_IRS2,Limit Interest Rate Swaps2,Entity,Finite," 10,00,00,000.00 ",PE_IRS2,JPY,Cpty_HT,,,999,,,,,,,,,,,,,
20,LIMIT_BND2,Limit BOND2,Entity,Finite," 10,00,00,000.00 ",PE_BND2,GBP,CPTY_ BARLON,,,999,,,,,,,,,,,,,
21,LIMIT_EQU2,Limit EQUITY2,Entity,Finite," 10,00,00,000.00 ",PE_EQU2,AED,Dubai Power,,,999,,,,,,,,,,,,,
22,LIMIT_LD3,Limit Loan Deposit3,Entity,Finite," 10,00,00,000.00 ",PE_LD3,MXN,Calimax,,,999,,,,,,,,,,,,,
23,LIMIT_REPO3,Limit Repo3,Entity,Finite," 10,00,00,000.00 ",PE_REPO3,EUR,CPTY_ DBG ,,,999,,,,,,,,,,,,,
24,LIMIT_FXS3,Limit FX SWAP3,Entity,Finite," 10,00,00,000.00 ",PE_FXS3,SAR,Cpty_NCB,,,999,,,,,,,,,,,,,
25,LIMIT_FXO3,Limit FX OTC Options3,Entity,Finite," 10,00,00,000.00 ",PE_FXO3,AED,Cpty_Emirates,,,999,,,,,,,,,,,,,
26,LIMIT_IRS3,Limit Interest Rate Swaps3,Entity,Finite," 10,00,00,000.00 ",PE_IRS3,AED,Cpty_ABF,,,999,,,,,,,,,,,,,
27,LIMIT_BND3,Limit BOND3,Entity,Finite," 10,00,00,000.00 ",PE_BND3,AED,Cpty_DB,,,999,,,,,,,,,,,,,
28,LIMIT_EQU3,Limit EQUITY3,Entity,Finite," 10,00,00,000.00 ",PE_EQU3,SAR,Cpty_SAP,,,999,,,,,,,,,,,,,
29,LIMIT_LD4,Limit Loan Deposit4,Entity,Finite," 10,00,00,000.00 ",PE_LD4,GBP,Cpty_ING ,,,999,,,,,,,,,,,,,
30,LIMIT_REPO4,Limit Repo4,Entity,Finite," 10,00,00,000.00 ",PE_REPO4,AED,Cpty_FGB,,,999,,,,,,,,,,,,,
34,LIMIT_BND4,Limit BOND4,Entity,Finite," 10,00,00,000.00 ",PE_BND4,INR,Cpty_GOI,,,999,,,,,,,,,,,,,
35,LIMIT_EQU4,Limit EQUITY4,Entity,Finite," 10,00,00,000.00 ",PE_EQU4,GBP,Cpty_Virgin,,,999,,,,,,,,,,,,,
36,LIMIT_LD5,Limit Loan Deposit5,Entity,Finite," 10,00,00,000.00 ",PE_LD5,JPY,Cpty_GOJ,,,999,,,,,,,,,,,,,
37,LIMIT_REPO5,Limit Repo5,Entity,Finite," 10,00,00,000.00 ",PE_REPO5,SGD,Cpty_STZ ,,,999,,,,,,,,,,,,,
38,LIMIT_LD6,Limit Loan Deposit6,Entity,Finite," 10,00,00,000.00 ",PE_LD6,SGD,Cpty_BCA,,,999,,,,,,,,,,,,,
36,LIMIT_EQU5,Limit EQUITY5,Entity,Finite," 10,00,00,000.00 ",PE_EQU5,EUR,Cpty_EDF,,,999,,,,,,,,,,,,,
37,LIMIT_EQU6,Limit EQUITY6,Entity,Finite," 10,00,00,000.00 ",PE_EQU6,EUR,Cpty_Cap,,,999,,,,,,,,,,,,,
38,LIMIT_EQU7,Limit EQUITY7,Entity,Finite," 10,00,00,000.00 ",PE_EQU7,EUR,Cpty_Accor,,,999,,,,,,,,,,,,,
39,LIMIT_EQU8,Limit EQUITY8,Entity,Finite," 10,00,00,000.00 ",PE_EQU8,JPY,Cpty_HT,,,999,,,,,,,,,,,,,
40,LIMIT_EQU9,Limit EQUITY9,Entity,Finite," 10,00,00,000.00 ",PE_EQU9,JPY,Cpty_MRT,,,999,,,,,,,,,,,,,
41,LIMIT_EQU10,Limit EQUITY10,Entity,Finite," 10,00,00,000.00 ",PE_EQU10,SGD,Cpty_STZ,,,999,,,,,,,,,,,,,
42,LIMIT_EQU11,Limit EQUITY11,Entity,Finite," 10,00,00,000.00 ",PE_EQU11,SGD,Cpty_SAL,,,999,,,,,,,,,,,,,
43,LIMIT_EQU12,Limit EQUITY12,Entity,Finite," 10,00,00,000.00 ",PE_EQU12,INR,Cpty_TCS,,,999,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,Entity Name,Attribute Name,Attribute Datatype,,,,,,,,,,,,,,,,,,,,,
rknet,CreditLimitMaster,CreditLimitMasterId,integer,,,,,,,,,,,,,,,,,,,,,
,,CreditLimitmaster_ShortName,varchar2(16),,,,,,,,,,,,,,,,,,,,,
,, Name,varchar2(40),,,,,,,,,,,,,,,,,,,,,
,, CurrencyId,Integer,,,,,,,,,,,,,,,,,,,,,
,, AllocatedAmount,float(8),,,,,,,,,,,,,,,,,,,,,
,, AllocationDate,date,,,,,,,,,,,,,,,,,,,,,
,, BeginDate,date,,,,,,,,,,,,,,,,,,,,,
,, EndDate,date,,,,,,,,,,,,,,,,,,,,,
,, Enforced,smallint,,,,,,,,,,,,,,,,,,,,,
,, CreditMethod,varchar2(1),,,,,,,,,,,,,,,,,,,,,
,, AmountType,varchar2(1),,,,,,,,,,,,,,,,,,,,,
,, UseTimeBand,smallint,,,,,,,,,,,,,,,,,,,,,
