Sr.No,CptyCode,CptyName,Cpty_Status,Date,Cpty_Grp,Rating,Sector_ID,Sector_Name,INDUSTRY_GROUP_ID,INDUSTRY_GROUP,,,,
2,GRP_CP_RI,Reliance,Active,02/02/12,Y,AA,SEC_1,Energy,IND_GRP_1,Energy,,,,
21,Cpty_GE,General Electric,Active,02/02/12,N,BBB,SEC_1,Energy,IND_GRP_1,Energy,,,,
6,Cpty_GOC,Government of China,Active,02/02/12,N,BBB,SEC_11,SOVEREIGN,IND_GRP_25,SOVEREIGN,,,,
9,Cpty_USGOV,US Government,Active,02/02/12,N,AAA,SEC_11,SOVEREIGN,IND_GRP_25,SOVEREIGN,,,,
7,Cpty_GM,General Motors,Active,02/02/12,N,BB,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,
13,Cpty_COPA,Copacol,Active,02/02/12,N,CCC,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,
15,Cpty_AA,Aerolíneas Argentinas,Active,02/02/12,N,C,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,
16,Cpty_Emirates,Emirates,Active,02/02/12,N,AAA,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,
17,Cpty_SEM,Semex,Expired,02/02/12,N,A,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,
18,Cpty_GS,Goldman Sachs,Active,02/02/12,N,BB,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,
19,Cpty_RBI,RBI,Active,02/02/12,N,B,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,
8,Cpty_Reuters,Reuters,Active,02/02/12,N,AAA,SEC_5,Consumer Staples,IND_GRP_11,Food & Staples Retailing,,,,
10,Cpty_EDF,Électricité de France,Active,02/02/12,N,A,SEC_6,Health Care,IND_GRP_14,Health Care Equipment & Services,,,,
12,Cpty_FG,Fairchild Group,Active,02/02/12,N,B,SEC_6,Health Care,IND_GRP_15,Health Care Equipment & Services,,,,
14,Cpty_Harrods,Harrods Group,Active,02/02/12,N,AA,SEC_6,Health Care,IND_GRP_16,Health Care Equipment & Services,,,,
3,Cpty_JPM,J.P. Morgan Chase,Active,02/02/12,N,AA,SEC_7,Financials,IND_GRP_16,Banks,,,,
4,Cpty_BOA,Bank of America,Active,02/02/12,N,AA,SEC_7,Financials,IND_GRP_17,Banks,,,,
5,Cpty_CITI,Citi Bank,Active,02/02/12,Y,A,SEC_7,Financials,IND_GRP_18,Banks,,,,
11,Cpty_BOM,Bank of Montreal,Active,02/02/12,N,BB,SEC_7,Financials,IND_GRP_19,Banks,,,,
20,Cpty_ DBG,Deutsche Bank,Active,02/02/12,Y,AAA,SEC_7,Financials,IND_GRP_20,Banks,,,,
22,Cpty_ BARLON,Barclays London,Active,02/02/12,N,AA,SEC_7,Financials,IND_GRP_21,Banks,,,,
1,Default_Cpty,Default_cpty,Active,02/02/12,Y,Default,,,,,,,,
,,,,,,,,,,,,,,
