Sr.No,CptyCode,CptyName,Cpty_Status,Date,Cpty_Grp,Rating,Sector_ID,Sector_Name,INDUSTRY_GROUP_ID,INDUSTRY_GROUP,,,,,
2,GRP_CP_JP,Reliance,Active,02/02/12,Y,AA,SEC_1,Energy,IND_GRP_1,Energy,,,,,
6,Cpty_GE,General Electric,Active,02/02/12,N,BBB,SEC_1,Energy,IND_GRP_1,Energy,,,,,
30,Cpty_DB,Dubai Power,Active,02/02/12,N,BB,SEC_1,Energy,IND_GRP_1,Energy,,,,,
35,Cpty_SAP,Saudi Arabia Petroliam,Active,02/02/12,N,B,SEC_1,SOVEREIGN,IND_GRP_25,SOVEREIGN,,,,,
9,Cpty_USGOV,US Government,Active,02/02/12,N,AAA,SEC_11,SOVEREIGN,IND_GRP_25,SOVEREIGN,,,,,
37,Cpty_GOJ,Government of Japan,Active,02/02/12,N,A,SEC_11,SOVEREIGN,IND_GRP_25,SOVEREIGN,,,,,
41,Cpty_GOI,Government of India,Active,02/02/12,N,A,SEC_11,SOVEREIGN,IND_GRP_25,SOVEREIGN,,,,,
44,Cpty_GOC,Government of China,Active,02/02/12,N,AA,SEC_11,SOVEREIGN,IND_GRP_25,SOVEREIGN,,,,,
36,Cpty_HT,Hitachi,Active,02/02/12,N,AA,SEC_2,Materials,IND_GRP_2,Materials,,,,,
7,Cpty_GM,General Motors,Active,02/02/12,N,BB,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,,
13,Cpty_COPA,Copacol,Active,02/02/12,N,CCC,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,,
15,Cpty_AA,Aerolíneas Argentinas,Active,02/02/12,N,C,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,,
16,Cpty_LN,Loma Negra,Active,02/02/12,N,AA,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,,
17,Cpty_SEM,Semex,Expired,02/02/12,N,A,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,,
18,Cpty_CAL,Calimax,Active,02/02/12,N,BB,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,,
19,Cpty_Dan,Danfoss,Active,02/02/12,N,B,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,,
21,Cpty_Bosch,Bosch,Active,02/02/12,N,AAA,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,,
31,Cpty_Emirates,Emirates,Active,02/02/12,N,AAA,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,,
33,Cpty_ABF,ABU QIR Fertilizers and Chemicals Industries Company,Expired,02/02/12,N,A,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,,
38,Cpty_MRT,Maruti,Active,02/02/12,N,BBB,SEC_3,Industrials,IND_GRP_3,Capital Goods,,,,,
8,Cpty_Reuters,Reuters,Active,02/02/12,N,AAA,SEC_5,Consumer Staples,IND_GRP_5,Transportation,,,,,
12,Cpty_FG,Fairchild Group,Active,02/02/12,N,B,SEC_6,Health Care,IND_GRP_14,Health Care Equipment & Services,,,,,
27,Cpty_Harrods,Harrods Group,Active,02/02/12,N,AA,SEC_6,Health Care,IND_GRP_14,Health Care Equipment & Services,,,,,
28,Cpty_EDF,Électricité de France,Active,02/02/12,N,A,SEC_6,Health Care,IND_GRP_14,Health Care Equipment & Services,,,,,
3,Cpty_JPM,J.P. Morgan Chase,Active,02/02/12,N,AA,SEC_7,Financials,IND_GRP_16,Banks,,,,,
4,Cpty_BOA,Bank of America,Active,02/02/12,N,AA,SEC_7,Financials,IND_GRP_16,Banks,,,,,
5,Cpty_CITI,Citi Bank,Active,02/02/12,Y,A,SEC_7,Financials,IND_GRP_16,Banks,,,,,
10,Cpty_Elle,Addittion Elle,Active,02/02/12,N,A,SEC_7,Financials,IND_GRP_16,Banks,,,,,
11,Cpty_BOM,Bank of Montreal,Active,02/02/12,N,BB,SEC_7,Financials,IND_GRP_16,Banks,,,,,
14,Cpty_BDB,Banco do Brasil,Active,02/02/12,N,CC,SEC_7,Financials,IND_GRP_16,Banks,,,,,
20,Cpty_ DBG,Deutsche Bank,Active,02/02/12,Y,AAA,SEC_7,Financials,IND_GRP_16,Banks,,,,,
23,Cpty_ BARLON,Barclays London,Active,02/02/12,N,AA,SEC_7,Financials,IND_GRP_16,Banks,,,,,
24,Cpty_ING,ING UK,Active,02/02/12,N,AA,SEC_7,Financials,IND_GRP_16,Banks,,,,,
32,Cpty_FGB,First Bank of Gulf,Active,02/02/12,N,AAA,SEC_7,Financials,IND_GRP_16,Banks,,,,,
34,Cpty_NCB,National Bank of Commerce,Active,02/02/12,N,BB,SEC_7,Financials,IND_GRP_16,Banks,,,,,
39,Cpty_STZ,Softzen,Active,02/02/12,N,BB,SEC_7,Financials,IND_GRP_16,Banks,,,,,
42,Cpty_BCA,Bank Central Asia,Active,02/02/12,N,BBB,SEC_7,Financials,IND_GRP_16,Banks,,,,,
43,Cpty_GS,Goldman Sachs,Active,02/02/12,N,AAA,SEC_7,Financials,IND_GRP_16,Banks,,,,,
29,Cpty_Cap,Capgemini,Active,02/02/12,N,BBB,SEC_8,Information Technology,IND_GRP_20,Software & Services,,,,,
40,Cpty_TCS,Tata Consultancy Services ,Active,02/02/12,N,AA,SEC_8,Information Technology,IND_GRP_20,Software & Services,,,,,
22,Cpty_Magix,Magix,Active,02/02/12,N,D,SEC_9,Telecommunication Services,IND_GRP_23,Telecommunication Services,,,,,
25,Cpty_Vita,Vita,Active,02/02/12,N,CCC,SEC_9,Telecommunication Services,IND_GRP_23,Telecommunication Services,,,,,
26,Cpty_Virgin,Virgin Trains,Active,02/02/12,N,C,SEC_9,Telecommunication Services,IND_GRP_23,Telecommunication Services,,,,,
1,Default_Cpty,Default_Cpty,Active,02/02/12,Y,Default,,,,,,,,,
