Portfolio Name,Branch Name,Branch Code,Entity Code,Entity Name,Portfolio Code,Folder Code,Folder Name
Equities1,United States of America,USA,NAMR,NORTH AMERICA,Port_EQ1,Fold_EQUITY1,Folder Equity1
Equities1,United States of America,USA,NAMR,NORTH AMERICA,Port_EQ1,Fold_EQUITY6,Folder Equity6
Equities2,Canada,CAN,NAMR,NORTH AMERICA,Port_EQ2,Fold_EQUITY2,Folder Equity2
Equities2,Canada,CAN,NAMR,NORTH AMERICA,Port_EQ2,Fold_EQUITY7,Folder Equity7
Equities3,Germany,DEU,EURO,EUROPE,Port_EQ3,Fold_EQUITY3,Folder Equity3
Equities3,Germany,DEU,EURO,EUROPE,Port_EQ3,Fold_EQUITY8,Folder Equity8
Equities4,United Kingdom,GBR,EURO,EUROPE,Port_EQ4,Fold_EQUITY4,Folder Equity4
Equities4,United Kingdom,GBR,EURO,EUROPE,Port_EQ4,Fold_EQUITY9,Folder Equity9
Equities5,France,FRA,EURO,EUROPE,Port_EQ5,Fold_EQUITY5,Folder Equity5
Equities5,France,FRA,EURO,EUROPE,Port_EQ5,Fold_EQUITY10,Folder Equity10
Derivatives1,United States of America,USA,NAMR,NORTH AMERICA,Port_OTC1,Fold_FXO1,FX OTC Options1
Derivatives1,United States of America,USA,NAMR,NORTH AMERICA,Port_OTC1,Fold_FXO5,FX OTC Options5
Derivatives2,Germany,DEU,EURO,EUROPE,Port_OTC2,Fold_FXO2,FX OTC Options2
Derivatives2,Germany,DEU,EURO,EUROPE,Port_OTC2,Fold_FXO6,FX OTC Options6
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO3,FX OTC Options3
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO7,FX OTC Options7
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO9,FX OTC Options9
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO4,FX OTC Options4
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO8,FX OTC Options8
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO10,FX OTC Options10
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS4,FXRates4
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP1,FolderSwap1
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP3,FolderSwap3
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP5,FolderSwap5
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP7,FolderSwap7
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP9,FolderSwap9
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP2,FolderSwap2
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP4,FolderSwap4
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP6,FolderSwap6
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP8,FolderSwap8
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP10,FolderSwap10
Bonds1,United States of America,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND1,Folder Bond1
Bonds1,United States of America,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND6,Folder Bond6
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND2,Folder Bond2
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND7,Folder Bond7
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND3,Folder Bond3
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND8,Folder Bond8
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND4,Folder Bond4
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND9,Folder Bond9
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND5,Folder Bond5
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND10,Folder Bond10
Money Market1,United States of America,USA,NAMR,NORTH AMERICA,Port_MM1,Fold_MM1,FolderMM1
Money Market1,United States of America,USA,NAMR,NORTH AMERICA,Port_MM1,Fold_MM6,FolderMM6
Money Market2,India,IND,APAC,ASIA PACIFIC,Port_MM2,Fold_MM2,FolderMM2
Money Market2,India,IND,APAC,ASIA PACIFIC,Port_MM2,Fold_MM7,FolderMM7
Money Market3,Canada,CAN,NAMR,NORTH AMERICA,Port_MM3,Fold_MM3,FolderMM3
Money Market3,Canada,CAN,NAMR,NORTH AMERICA,Port_MM3,Fold_MM8,FolderMM8
Money Market4,Brazil,BRA,SAMR,SOUTH AMERICA,Port_MM4,Fold_MM4,FolderMM4
Money Market4,Brazil,BRA,SAMR,SOUTH AMERICA,Port_MM4,Fold_MM9,FolderMM9
Money Market5,Argentina,ARG,SAMR,SOUTH AMERICA,Port_MM5,Fold_MM5,FolderMM5
Money Market5,Argentina,ARG,SAMR,SOUTH AMERICA,Port_MM5,Fold_MM10,FolderMM10
