Portfolio Name,Branch Name,Branch Code,Entity Code,Entity Name,Portfolio Code,Folder Code,Folder Name,Bond,Instrument,Deal Type,Currency,Trade Date,Value Date,Payment Date,Settlement Date, Face Amount ,Quantity,Price, Gross amount ,Clearing Mode,Counterparty,Market Value (USD)
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND9,Folder Bond9,BND_CANTR,BONDS,BUY,CAD,03/08/16,05/08/16,25/02/20,25/02/20,"3,00,000.00",3000,92.5,"2,77,500.00",EURO,Älectricit_ de France,"3,57,925.96"
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND9,Folder Bond9,BND_GRBTR,BONDS,BUY,GBP,04/08/16,08/08/16,13/11/20,13/11/20,"40,00,000.00",40000,102.5,"41,00,000.00",Default,Emirates,"53,94,736.84"
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND9,Folder Bond9,BND_GRBTR,BONDS,SELL,GBP,09/08/16,11/08/16,13/11/20,13/11/20,"15,00,000.00",15000,102.5,"15,37,500.00",EURO,Loma Negra,"20,23,026.32"
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND9,Folder Bond9,BND_USATR,BONDS,BUY,USD,05/08/16,09/08/16,19/08/19,19/08/19,"1,00,000.00",1000,97,"97,000.00",Default,Barclays London,"97,000.00"
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND9,Folder Bond9,BND_USATR,BONDS,SELL,USD,09/08/16,11/08/16,19/08/19,19/08/19,"1,00,000.00",1000,98,"98,000.00",Default,ING UK,"98,000.00"
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND8,Folder Bond8,BND_CANTR,BONDS,BUY,CAD,09/08/16,11/08/16,25/02/20,25/02/20,"20,00,000.00",20000,93,"18,60,000.00",Default,ING UK,"23,99,071.33"
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND8,Folder Bond8,BND_CANTR,BONDS,SELL,CAD,11/08/16,15/08/16,25/02/20,25/02/20,"20,00,000.00",20000,95,"19,00,000.00",Default,Loma Negra,"24,50,664.26"
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND8,Folder Bond8,BND_GOI,BONDS,BUY,INR,08/08/16,10/08/16,10/12/17,10/12/17,"5,00,000.00",5000,100.5,"5,02,500.00",CCIL,Citi Bank,"7,613.64"
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND8,Folder Bond8,BND_GOI,BONDS,BUY,INR,08/08/16,10/08/16,10/12/17,10/12/17,"10,00,000.00",10000,100.5,"10,05,000.00",CCIL,Virgin Trains,"15,227.27"
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND8,Folder Bond8,BND_USATR,BONDS,BUY,USD,05/08/16,09/08/16,19/08/19,19/08/19,"11,00,000.00",11000,97,"10,67,000.00",Default,General Electric,"10,67,000.00"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND7,Folder Bond7,BND_CANTR,BONDS,BUY,CAD,09/08/16,11/08/16,25/02/20,25/02/20,"5,00,000.00",5000,93,"4,65,000.00",Default,Emirates,"5,99,767.83"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND7,Folder Bond7,BND_GRBTR,BONDS,BUY,GBP,04/08/16,08/08/16,13/11/20,13/11/20,"60,00,000.00",60000,101,"60,60,000.00",EURO,Emirates,"79,73,684.21"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND7,Folder Bond7,BND_GRBTR,BONDS,BUY,GBP,09/08/16,11/08/16,13/11/20,13/11/20,"1,00,00,000.00",100000,102,"1,02,00,000.00",EURO,Dubai Power,"1,34,21,052.63"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND7,Folder Bond7,BND_UAETR,BONDS,BUY,AED,02/08/16,04/08/16,15/06/24,15/06/24,"9,50,000.00",9500,100.2,"9,51,900.00",CCIL,Government of India,"2,59,373.30"
