Portfolio Name,Branch Name,Branch Code,Entity Code,Entity Name,Portfolio Code,Folder Code,Folder Name,Equity,Instrument,Deal Type,Currency,Trade Date,Payment Date,Settlement Date,Quantity,Price,Gross Amount,Clearing Mode,Cpty,Rating,Sector_ID,Market Value(USD)
Equities3,Germany,DEU,EURO,EUROPE,Port_EQ3,Fold_EQUITY3,Folder Equity3,EQUITY11,EQUITY,BUY,USD,03/08/16,07/08/16,07/08/16,400,1200,480000,Default,Addittion Elle,A,SEC_7,480000
Equities5,France,FRA,EURO,EUROPE,Port_EQ5,Fold_EQUITY10,Folder Equity10,EQUITY9,EQUITY,BUY,USD,02/08/16,04/08/16,04/08/16,400,1000,400000,Default,Addittion Elle,A,SEC_7,400000
Equities5,France,FRA,EURO,EUROPE,Port_EQ5,Fold_EQUITY5,Folder Equity5,EQUITY1,EQUITY,BUY,USD,02/08/16,04/08/16,04/08/16,400,3000,1200000,Default,Aerol’neas Argentinas,C,SEC_3,1200000
Equities4,United Kingdom,GBR,EURO,EUROPE,Port_EQ4,Fold_EQUITY4,Folder Equity4,EQUITY11,EQUITY,BUY,USD,02/08/16,04/08/16,04/08/16,400,4500,1800000,Default,Banco do Brasil,CC,SEC_7,1800000
Equities4,United Kingdom,GBR,EURO,EUROPE,Port_EQ4,Fold_EQUITY4,Folder Equity4,EQUITY4,EQUITY,BUY,USD,01/08/16,03/08/16,03/08/17,400,2000,800000,Default,Bank of America,AA,SEC_7,800000
Equities1,United States,USA,NAMR,NORTH AMERICA,Port_EQ1,Fold_EQUITY1,Folder Equity1,EQUITY11,EQUITY,BUY,USD,02/08/16,04/08/16,04/08/16,10,270,2700,Default,Bank of Monteral,BB,SEC_7,2700
Equities1,United States,USA,NAMR,NORTH AMERICA,Port_EQ1,Fold_EQUITY1,Folder Equity1,EQUITY14,EQUITY,BUY,GBP,03/08/16,07/08/16,07/08/16,400,550,220000,Default,Bosch,AAA,SEC_3,289473.6842
Equities5,France,FRA,EURO,EUROPE,Port_EQ5,Fold_EQUITY5,Folder Equity5,EQUITY5,EQUITY,BUY,USD,01/08/16,03/08/16,03/08/17,10,780,7800,Default,Citi Bank,A,SEC_7,7800
Equities3,Germany,DEU,EURO,EUROPE,Port_EQ3,Fold_EQUITY3,Folder Equity3,EQUITY11,EQUITY,BUY,USD,02/08/16,04/08/16,04/08/16,100,2100,210000,Default,Copacol,CCC,SEC_3,210000
Equities4,United Kingdom,GBR,EURO,EUROPE,Port_EQ4,Fold_EQUITY9,Folder Equity9,EQUITY5,EQUITY,BUY,USD,03/08/16,07/08/16,07/08/16,400,780,312000,Default,Danfoss,B,SEC_3,312000
Equities1,United States,USA,NAMR,NORTH AMERICA,Port_EQ1,Fold_EQUITY1,Folder Equity1,EQUITY1,EQUITY,BUY,USD,01/08/16,03/08/16,03/08/17,100,3000,300000,Default,Default_Cpty,C,SEC_11,300000
Equities5,France,FRA,EURO,EUROPE,Port_EQ5,Fold_EQUITY10,Folder Equity10,EQUITY6,EQUITY,BUY,EUR,03/08/16,07/08/16,07/08/16,20,1000,20000,Default,Deutsche Bank,AAA,SEC_7,22471.91011
Equities5,France,FRA,EURO,EUROPE,Port_EQ5,Fold_EQUITY10,Folder Equity10,EQUITY12,EQUITY,SELL,CAD,10/08/16,12/08/16,12/08/16,400,780,312000,Default,Dubai Power,BB,SEC_1,402424.8678
Equities3,Germany,DEU,EURO,EUROPE,Port_EQ3,Fold_EQUITY8,Folder Equity8,EQUITY5,EQUITY,BUY,USD,10/08/16,12/08/16,12/08/16,20,4500,90000,Default,Electricite de France,A,SEC_6,90000
Equities2,Canada,CAN,NAMR,NORTH AMERICA,Port_EQ2,Fold_EQUITY2,Folder Equity2,EQUITY13,EQUITY,BUY,JPY,02/08/16,04/08/16,04/08/16,10,1900,19000,Default,Fairchild Group,B,SEC_6,189.1488303
Equities2,Canada,CAN,NAMR,NORTH AMERICA,Port_EQ2,Fold_EQUITY2,Folder Equity2,EQUITY14,EQUITY,BUY,GBP,10/08/16,12/08/16,12/08/16,10,550,5500,Default,First Bank of Gulf,AAA,SEC_7,7236.842105
Equities1,United States,USA,NAMR,NORTH AMERICA,Port_EQ1,Fold_EQUITY6,Folder Equity6,EQUITY7,EQUITY,BUY,USD,01/08/16,03/08/16,03/08/17,10,1000,10000,Default,General Electric,BBB,SEC_1,10000
Equities4,United Kingdom,GBR,EURO,EUROPE,Port_EQ4,Fold_EQUITY9,Folder Equity9,EQUITY7,EQUITY,BUY,USD,10/08/16,12/08/16,12/08/16,20,2000,40000,Default,General Electric,BBB,SEC_1,40000
Equities2,Canada,CAN,NAMR,NORTH AMERICA,Port_EQ2,Fold_EQUITY7,Folder Equity7,Fold_EQUITY7,EQUITY,BUY,USD,01/08/16,03/08/16,03/08/17,20,550,11000,Default,General Motors,BB,SEC_3,11000
Equities2,Canada,CAN,NAMR,NORTH AMERICA,Port_EQ2,Fold_EQUITY7,Folder Equity7,Fold_EQUITY7,EQUITY,BUY,USD,03/08/16,07/08/16,07/08/16,100,2100,210000,Default,Goldman Sachs,AAA,SEC_7,210000
Equities1,United States,USA,NAMR,NORTH AMERICA,Port_EQ1,Fold_EQUITY1,Folder Equity1,EQUITY10,EQUITY,BUY,EUR,10/08/16,12/08/16,12/08/16,20,1000,20000,Default,Government of China,AA,SEC_11,22471.91011
Equities3,Germany,DEU,EURO,EUROPE,Port_EQ3,Fold_EQUITY3,Folder Equity3,EQUITY14,EQUITY,BUY,GBP,10/08/16,12/08/16,12/08/16,100,9000,900000,Default,Government of India,A,SEC_11,1184210.526
Equities2,Canada,CAN,NAMR,NORTH AMERICA,Port_EQ2,Fold_EQUITY7,Folder Equity7,Fold_EQUITY7,EQUITY,BUY,USD,10/08/16,12/08/16,12/08/16,100,1900,190000,Default,Government of Japan,A,SEC_11,190000
Equities1,United States,USA,NAMR,NORTH AMERICA,Port_EQ1,Fold_EQUITY6,Folder Equity6,EQUITY3,EQUITY,BUY,USD,10/08/16,12/08/16,12/08/16,20,270,5400,Default,Hitachi,AA,SEC_2,5400
Equities4,United Kingdom,GBR,EURO,EUROPE,Port_EQ4,Fold_EQUITY4,Folder Equity4,EQUITY1,EQUITY,BUY,USD,03/08/16,07/08/16,07/08/16,20,1000,20000,Default,ING UK,AA,SEC_7,20000
Equities3,Germany,DEU,EURO,EUROPE,Port_EQ3,Fold_EQUITY3,Folder Equity3,EQUITY12,EQUITY,BUY,CAD,01/08/16,03/08/16,03/08/17,400,290,116000,Default,J.P. Morgan Chase,AA,SEC_7,149619.5021
Equities1,United States,USA,NAMR,NORTH AMERICA,Port_EQ1,Fold_EQUITY6,Folder Equity6,EQUITY2,EQUITY,SELL,USD,02/08/16,04/08/16,04/08/16,400,450,180000,Default,Loma Negra,AA,SEC_3,180000
Equities2,Canada,CAN,NAMR,NORTH AMERICA,Port_EQ2,Fold_EQUITY2,Folder Equity2,EQUITY9,EQUITY,SELL,USD,03/08/16,07/08/16,07/08/16,100,9000,900000,Default,Magix,D,SEC_9,900000
Equities3,Germany,DEU,EURO,EUROPE,Port_EQ3,Fold_EQUITY8,Folder Equity8,EQUITY12,EQUITY,BUY,CAD,02/08/16,04/08/16,04/08/16,400,2000,800000,Default,Maruti,BBB,SEC_3,1031858.635
Equities3,Germany,DEU,EURO,EUROPE,Port_EQ3,Fold_EQUITY8,Folder Equity8,EQUITY5,EQUITY,BUY,USD,12/08/16,02/08/17,02/08/17,20,2100,42000,Default,Maruti,BBB,SEC_3,42000
Equities4,United Kingdom,GBR,EURO,EUROPE,Port_EQ4,Fold_EQUITY4,Folder Equity4,EQUITY1,EQUITY,BUY,USD,10/08/16,12/08/16,12/08/16,20,1200,24000,Default,National Bank of Commerce,BB,SEC_7,24000
Equities2,Canada,CAN,NAMR,NORTH AMERICA,Port_EQ2,Fold_EQUITY2,Folder Equity2,EQUITY2,EQUITY,BUY,USD,01/08/16,03/08/16,03/08/17,10,450,4500,Default,Reliance,AA,SEC_1,4500
Equities3,Germany,DEU,EURO,EUROPE,Port_EQ3,Fold_EQUITY8,Folder Equity8,EQUITY9,EQUITY,BUY,USD,01/08/16,03/08/16,03/08/17,10,9000,90000,Default,Reuters,AAA,SEC_5,90000
Equities5,France,FRA,EURO,EUROPE,Port_EQ5,Fold_EQUITY5,Folder Equity5,EQUITY2,EQUITY,BUY,USD,10/08/16,12/08/16,12/08/16,10,1000,10000,Default,Saudi Arabia Petroliam,B,SEC_1,10000
Equities2,Canada,CAN,NAMR,NORTH AMERICA,Port_EQ2,Fold_EQUITY7,Folder Equity7,Fold_EQUITY7,EQUITY,BUY,CAD,02/08/16,04/08/16,04/08/16,20,290,5800,Default,Semex,A,SEC_3,7480.975106
Equities4,United Kingdom,GBR,EURO,EUROPE,Port_EQ4,Fold_EQUITY9,Folder Equity9,EQUITY7,EQUITY,SELL,USD,12/08/16,02/08/17,02/08/17,100,4500,450000,Default,Softzen,BB,SEC_7,450000
Equities5,France,FRA,EURO,EUROPE,Port_EQ5,Fold_EQUITY10,Folder Equity10,EQUITY8,EQUITY,BUY,USD,12/08/16,02/08/17,02/08/17,20,450,9000,Default,TCS,AA,SEC_8,9000
