Portfolio Name,Branch Name,Branch Code,Entity Code,Entity Name,Portfolio Code,Folder Code,Folder Name,Counterparty,Rating,Sector_ID,Deal Type,Deal Type,Instrument,Pair,Option Type,Premium At,Trade Date,Value Date,Premium Date,Maturity Date,Settlement Date,Cutt off,Strike,Spot,Premium type,Notional Amount Ccy1,Notional Amount Ccy2,Premium (USD),Market Value (USD)
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO8,FX OTC Options8,Banco do Brasil,CC,SEC_7,Call,Buy,FXO,EUR/USD,Swaption,Spot,11/08/16,13/08/16,15/08/16,13/11/20,10/12/17,,1.45,1.34,Cash,35000000,50750000,3500000,54250000
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO8,FX OTC Options8,Banco do Brasil,CC,SEC_7,Call,Sell,FXO,EUR/USD,Swaption,Spot,08/08/16,10/08/16,12/08/16,15/06/24,15/06/24,,1.45,1.34,Cash,35000000,50750000,3500000,54250000
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO7,FX OTC Options7,Bank Central Asia,BBB,SEC_7,Call,Buy,FXO,USD/EUR,Swaption,Fwd,09/08/16,11/08/16,13/08/16,13/11/20,10/12/17,,0.95,0.852,Cash,60000000,63157894.74,6000000,66000000
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO7,FX OTC Options7,Bank Central Asia,BBB,SEC_7,Call,Sell,FXO,USD/EUR,Swaption,Fwd,08/08/16,10/08/16,12/08/16,15/06/24,15/06/24,,0.95,0.852,Cash,60000000,63157894.74,6000000,66000000
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO7,FX OTC Options7,Bank of America,AA,SEC_7,Call,Sell,FXO,USD/EUR,Swaption,Fwd,04/08/16,06/08/16,08/08/16,10/12/17,25/02/20,,0.95,0.852,Cash,60000000,63157894.74,6000000,66000000
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO7,FX OTC Options7,Bank of America,AA,SEC_7,Call,Sell,FXO,USD/EUR,Swaption,Fwd,09/08/16,11/08/16,13/08/16,19/08/19,15/06/24,,0.95,0.852,Cash,60000000,63157894.74,6000000,66000000
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO8,FX OTC Options8,Bank of America,AA,SEC_7,Call,Sell,FXO,EUR/USD,Swaption,Spot,04/08/16,06/08/16,08/08/16,10/12/17,25/02/20,,1.45,1.34,Cash,35000000,50750000,3500000,54250000
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO10,FX OTC Options10,Bank of Montreal,BB,SEC_7,Call,Sell,FXO,AED/USD,Swaption,Spot,04/08/16,06/08/16,08/08/16,15/06/24,15/06/24,,0.3,0.27,Cash,260000000,78000000,26000000,104000000
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO9,FX OTC Options9,Calimax,BB,SEC_3,Call,Sell,FXO,GBP/USD,Swaption,Spot,09/08/16,11/08/16,13/08/16,10/12/17,25/02/20,,1.65,1.5614,Cash,35000000,57750000,3500000,61250000
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO9,FX OTC Options9,Calimax,BB,SEC_3,Call,Buy,FXO,GBP/USD,Swaption,Spot,01/08/16,03/08/16,05/08/16,13/11/20,10/12/17,,1.65,1.5614,Cash,35000000,57750000,3500000,61250000
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO9,FX OTC Options9,Calimax,BB,SEC_3,Call,Sell,FXO,GBP/USD,Swaption,Spot,01/08/16,03/08/16,05/08/16,15/06/24,15/06/24,,1.65,1.5614,Cash,35000000,57750000,3500000,61250000
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO4,FX OTC Options4,Emirates,AAA,SEC_3,Put,Buy,FXO,AED/USD,Swaption,Fwd,08/08/16,10/08/16,12/08/16,15/06/24,10/12/17,,0.23,0.27,Cash,95652173.91,22000000,9565217.391,31565217.39
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO10,FX OTC Options10,Emirates,AAA,SEC_3,Call,Sell,FXO,AED/USD,Swaption,Spot,09/08/16,11/08/16,13/08/16,10/12/17,25/02/20,,0.3,0.27,Cash,260000000,78000000,26000000,104000000
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO10,FX OTC Options10,Emirates,AAA,SEC_3,Call,Buy,FXO,AED/USD,Swaption,Spot,01/08/16,03/08/16,05/08/16,13/11/20,10/12/17,,0.3,0.27,Cash,260000000,78000000,26000000,104000000
Derivatives2,Germany,DEU,EURO,EUROPE,Port_OTC2,Fold_FXO2,FX OTC Options2,Government of Japan,A,SEC_11,Put,Sell,FXO,EUR/USD,Swaption,Spot,03/08/16,05/08/16,07/08/16,25/02/20,25/02/20,,1.2,1.34,Cash,101000000,121200000,10100000,131300000
Derivatives2,Germany,DEU,EURO,EUROPE,Port_OTC2,Fold_FXO2,FX OTC Options2,Government of Japan,A,SEC_11,Put,Sell,FXO,EUR/USD,Swaption,Spot,03/08/16,05/08/16,07/08/16,10/12/17,25/02/20,,1.2,1.34,Cash,101000000,121200000,10100000,131300000
Derivatives2,Germany,DEU,EURO,EUROPE,Port_OTC2,Fold_FXO2,FX OTC Options2,Government of Japan,A,SEC_11,Put,Buy,FXO,EUR/USD,Swaption,Spot,01/08/16,03/08/16,05/08/16,13/11/20,10/12/17,,1.2,1.34,Cash,101000000,121200000,10100000,131300000
Derivatives2,Germany,DEU,EURO,EUROPE,Port_OTC2,Fold_FXO2,FX OTC Options2,Government of Japan,A,SEC_11,Put,Sell,FXO,EUR/USD,Swaption,Spot,04/08/16,06/08/16,08/08/16,15/06/24,15/06/24,,1.2,1.34,Cash,101000000,121200000,10100000,131300000
Derivatives2,Germany,DEU,EURO,EUROPE,Port_OTC2,Fold_FXO6,FX OTC Options6,Government of Japan,A,SEC_11,Call,Sell,FXO,GBP/USD,Swaption,Spot,04/08/16,06/08/16,08/08/16,10/12/17,25/02/20,,1.6,1.564,Cash,28125000,45000000,2812500,47812500
Derivatives2,Germany,DEU,EURO,EUROPE,Port_OTC2,Fold_FXO6,FX OTC Options6,Government of Japan,A,SEC_11,Call,Buy,FXO,GBP/USD,Swaption,Spot,09/08/16,11/08/16,13/08/16,13/11/20,10/12/17,,1.6,1.564,Cash,28125000,45000000,2812500,47812500
Derivatives2,Germany,DEU,EURO,EUROPE,Port_OTC2,Fold_FXO6,FX OTC Options6,Government of Japan,A,SEC_11,Call,Sell,FXO,GBP/USD,Swaption,Spot,08/08/16,10/08/16,12/08/16,15/06/24,15/06/24,,1.6,1.564,Cash,28125000,45000000,2812500,47812500
Derivatives2,Germany,DEU,EURO,EUROPE,Port_OTC2,Fold_FXO6,FX OTC Options6,Government of Japan,A,SEC_11,Call,Sell,FXO,GBP/USD,Swaption,Spot,09/08/16,11/08/16,13/08/16,19/08/19,15/06/24,,1.6,1.564,Cash,28125000,45000000,2812500,47812500
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO4,FX OTC Options4,Government of Japan,A,SEC_11,Put,Sell,FXO,AED/USD,Swaption,Fwd,03/08/16,05/08/16,07/08/16,10/12/17,25/02/20,,0.23,0.27,Cash,95652173.91,22000000,9565217.391,31565217.39
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO4,FX OTC Options4,Government of Japan,A,SEC_11,Put,Sell,FXO,AED/USD,Swaption,Fwd,09/08/16,11/08/16,13/08/16,13/11/20,25/02/20,,0.23,0.27,Cash,95652173.91,22000000,9565217.391,31565217.39
Derivatives4,Japan,JPN,APAC,ASIA PACIFIC,Port_OTC4,Fold_FXO4,FX OTC Options4,Government of Japan,A,SEC_11,Put,Sell,FXO,AED/USD,Swaption,Fwd,04/08/16,06/08/16,08/08/16,19/08/19,19/08/19,,0.23,0.27,Cash,95652173.91,22000000,9565217.391,31565217.39
Derivatives1,United States,USA,NAMR,NORTH AMERICA,Port_OTC1,Fold_FXO1,FX OTC Options1,Virgin Trains,C,SEC_9,Call,Sell,FXO,USD/EUR,Swaption,Spot,02/08/16,04/08/16,06/08/16,25/02/20,25/02/20,,0.9,0.852,Cash,35000000,38888888.89,3500000,38500000
Derivatives1,United States,USA,NAMR,NORTH AMERICA,Port_OTC1,Fold_FXO1,FX OTC Options1,Virgin Trains,C,SEC_9,Call,Sell,FXO,USD/EUR,Swaption,Spot,02/08/16,04/08/16,06/08/16,10/12/17,25/02/20,,0.9,0.852,Cash,35000000,38888888.89,3500000,38500000
Derivatives1,United States,USA,NAMR,NORTH AMERICA,Port_OTC1,Fold_FXO5,FX OTC Options5,Virgin Trains,C,SEC_9,Call,Sell,FXO,EUR/USD,Swaption,Spot,04/08/16,06/08/16,08/08/16,10/12/17,25/02/20,,1.5,1.34,Cash,25000000,37500000,2500000,40000000
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO3,FX OTC Options3,Virgin Trains,C,SEC_9,Put,Sell,FXO,GBP/USD,Swaption,Spot,03/08/16,05/08/16,07/08/16,10/12/17,25/02/20,,1.35,1.5614,Cash,48148148.15,65000000,4814814.815,69814814.82
Derivatives1,United States,USA,NAMR,NORTH AMERICA,Port_OTC1,Fold_FXO1,FX OTC Options1,Vita,CCC,SEC_9,Call,Buy,FXO,USD/EUR,Swaption,Spot,01/08/16,03/08/16,05/08/16,13/11/20,10/12/17,,0.9,0.852,Cash,35000000,38888888.89,3500000,38500000
Derivatives1,United States,USA,NAMR,NORTH AMERICA,Port_OTC1,Fold_FXO1,FX OTC Options1,Vita,CCC,SEC_9,Call,Sell,FXO,USD/EUR,Swaption,Spot,04/08/16,06/08/16,08/08/16,15/06/24,15/06/24,,0.9,0.852,Cash,35000000,38888888.89,3500000,38500000
Derivatives1,United States,USA,NAMR,NORTH AMERICA,Port_OTC1,Fold_FXO5,FX OTC Options5,Vita,CCC,SEC_9,Call,Buy,FXO,EUR/USD,Swaption,Spot,09/08/16,11/08/16,13/08/16,13/11/20,25/02/20,,1.5,1.34,Cash,25000000,37500000,2500000,40000000
Derivatives1,United States,USA,NAMR,NORTH AMERICA,Port_OTC1,Fold_FXO5,FX OTC Options5,Vita,CCC,SEC_9,Call,Sell,FXO,EUR/USD,Swaption,Spot,08/08/16,10/08/16,12/08/16,15/06/24,10/12/17,,1.5,1.34,Cash,25000000,37500000,2500000,40000000
Derivatives1,United States,USA,NAMR,NORTH AMERICA,Port_OTC1,Fold_FXO5,FX OTC Options5,Vita,CCC,SEC_9,Call,Sell,FXO,EUR/USD,Swaption,Spot,04/08/16,06/08/16,08/08/16,19/08/19,19/08/19,,1.5,1.34,Cash,25000000,37500000,2500000,40000000
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO3,FX OTC Options3,Vita,CCC,SEC_9,Put,Sell,FXO,GBP/USD,Swaption,Spot,03/08/16,05/08/16,07/08/16,13/11/20,25/02/20,,1.35,1.5614,Cash,48148148.15,65000000,4814814.815,69814814.82
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO3,FX OTC Options3,Vita,CCC,SEC_9,Put,Buy,FXO,GBP/USD,Swaption,Spot,08/08/16,10/08/16,12/08/16,15/06/24,10/12/17,,1.35,1.5614,Cash,48148148.15,65000000,4814814.815,69814814.82
Derivatives3,France,FRA,EURO,EUROPE,Port_OTC3,Fold_FXO3,FX OTC Options3,Vita,CCC,SEC_9,Put,Sell,FXO,GBP/USD,Swaption,Spot,04/08/16,06/08/16,08/08/16,19/08/19,19/08/19,,1.35,1.5614,Cash,48148148.15,65000000,4814814.815,69814814.82
