Portfolio Name,Branch Name,Branch Code,Entity Code,Entity Name,Portfolio Code,Folder Code,Folder Name,Counterparty,Rating,Sector_ID,Instrument,ccy1,ccy2,Pair,Spot Rate,Trade Date,Vaule Date,Maturity Date,Amount1 ccy1,Amount2 ccy2,Market Value(USD)
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,01/08/16,14/07/20,25/02/20,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,01/08/16,01/03/18,10/12/17,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,02/08/16,01/03/18,13/11/20,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,02/08/16,12/08/16,13/11/20,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,03/08/16,12/08/16,25/02/20,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,03/08/16,01/03/18,10/12/17,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,05/08/16,01/03/18,13/11/20,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,08/08/16,01/03/18,13/11/20,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,10/08/16,01/03/18,10/12/17,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,10/08/16,01/03/18,10/12/17,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,11/08/16,01/03/18,10/12/17,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,11/08/16,14/07/20,10/12/17,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,12/08/16,14/07/20,13/11/20,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,12/08/16,14/07/20,13/11/20,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,12/08/16,14/07/20,15/06/24,85000000,-63432835.82,85000000
Derivatives6,Argentina,ARG,SAMR,SOUTH AMERICA,Port_FXS2,Fold_FXSWAPS2,FXSWAPS2,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.34,12/08/16,14/07/20,19/08/19,85000000,-63432835.82,85000000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,01/08/16,01/03/18,25/02/20,10000000,-6250000,10000000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,01/08/16,01/03/18,10/12/17,10000000,-6250000,10000000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,02/08/16,01/03/18,13/11/20,10000000,-6250000,-6250000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,02/08/16,12/08/16,13/11/20,10000000,-6250000,10000000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,03/08/16,12/08/16,15/06/24,10000000,-6250000,10000000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,03/08/16,01/03/18,10/12/17,10000000,-6250000,10000000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,04/08/16,01/03/18,10/12/17,10000000,-6250000,10000000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,08/08/16,01/03/18,13/11/20,10000000,-6250000,10000000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,10/08/16,01/03/18,10/12/17,10000000,-6250000,10000000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,10/08/16,01/03/18,10/12/17,10000000,-6250000,10000000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,11/08/16,01/03/18,25/02/20,10000000,-6250000,10000000
Derivatives5,Germany,DEU,EURO,EUROPE,Port_FXS1,Fold_FXSWAPS1,FXSWAPS1,Bank of America,AA,SEC_7,FXS,USD,EUR,USD/EUR,1.6,11/08/16,14/07/20,10/12/17,10000000,-6250000,10000000
