Portfolio Name,Branch Name,Branch Code,Entity Code,Entity Name,Portfolio Code,Folder Code,Folder Name,Counterparty,Deal Type,Instrument,Deal Currency,Trade Date,Value Date,Maturity Date,Amount,Indexation,Fixed Rate,Floating Rate,Frequency,Market Value (USD)
Money Market4,Brazil,BRA,SAMR,SOUTH AMERICA,Port_MM4,Fold_MM9,FolderMM9,Softzen,Loan,LD,EUR,01/08/16,03/08/16,06/08/18," 2,00,00,000.00 ",Fixed,7.25,NA,Quaterly," 1,77,21,070.35 "
Money Market4,Brazil,BRA,SAMR,SOUTH AMERICA,Port_MM4,Fold_MM9,FolderMM9,Bosch,Loan,LD,USD,03/08/16,05/08/16,05/08/19," 2,00,00,000.00 ",Fixed,7,NA,Annual," 2,00,00,000.00 "
Money Market4,Brazil,BRA,SAMR,SOUTH AMERICA,Port_MM4,Fold_MM9,FolderMM9,Vita,Loan,LD,USD,03/08/16,05/08/16,05/08/18," 9,50,00,000.00 ",Fixed,5,NA,Semi_Annual," 9,50,00,000.00 "
Money Market4,Brazil,BRA,SAMR,SOUTH AMERICA,Port_MM4,Fold_MM9,FolderMM9,National Commercial Bank,Loan,LD,USD,10/08/16,12/08/16,16/08/18," 8,00,00,000.00 ",Floating,NA,USD1Y,Annual," 8,00,00,000.00 "
Money Market3,Canada,CAN,NAMR,NORTH AMERICA,Port_MM3,Fold_MM8,FolderMM8,Bosch,Deposit,LD,USD,01/08/16,03/08/16,05/08/18," 7,50,00,000.00 ",FLoating,NA,USD3M,Quaterly," 7,50,00,000.00 "
Money Market3,Canada,CAN,NAMR,NORTH AMERICA,Port_MM3,Fold_MM8,FolderMM8,Deutsche Bank,Loan,LD,USD,02/08/16,04/08/16,04/08/18," 3,00,00,000.00 ",FLoating,NA,USD3M,Quaterly," 3,00,00,000.00 "
Money Market3,Canada,CAN,NAMR,NORTH AMERICA,Port_MM3,Fold_MM8,FolderMM8,Bank Central Asia,Loan,LD,USD,03/08/16,05/08/16,05/08/18," 5,00,00,000.00 ",Floating,NA,USD6M,Semi_Annual," 5,00,00,000.00 "
Money Market3,Canada,CAN,NAMR,NORTH AMERICA,Port_MM3,Fold_MM8,FolderMM8,Harrods Group,Loan,LD,USD,10/08/16,12/08/16,15/08/18," 2,50,00,000.00 ",Fixed,6.5,NA,Quaterly," 2,50,00,000.00 "
Money Market2,India,IND,APAC,ASIA PACIFIC,Port_MM2,Fold_MM7,FolderMM7,Hitachi,Loan,LD,USD,01/08/16,03/08/16,04/08/18," 9,50,00,000.00 ",Fixed,6.25,NA,Semi_Annual," 9,50,00,000.00 "
Money Market2,India,IND,APAC,ASIA PACIFIC,Port_MM2,Fold_MM7,FolderMM7,Default_Cpty,Deposit,LD,CAD,02/08/16,04/08/16,04/08/18," 9,50,00,000.00 ",Fixed,3.75,NA,Annual," 12,25,33,212.95 "
Money Market2,India,IND,APAC,ASIA PACIFIC,Port_MM2,Fold_MM7,FolderMM7,Aerol’neas Argentinas,Loan,LD,USD,03/08/16,05/08/16,05/08/18," 8,00,00,000.00 ",Floating,NA,USD6M,Semi_Annual," 8,00,00,000.00 "
Money Market2,India,IND,APAC,ASIA PACIFIC,Port_MM2,Fold_MM7,FolderMM7,Reliance,Loan,LD,CHF,10/08/16,12/08/16,14/08/18," 2,50,00,000.00 ",Fixed,5.5,NA,Quaterly," 2,41,87,306.50 "
Money Market1,United States,USA,NAMR,NORTH AMERICA,Port_MM1,Fold_MM6,FolderMM6,Banco do Brasil,Loan,LD,USD,01/08/16,03/08/16,03/08/18," 11,50,00,000.00 ",Floating,NA,USD3M,Quaterly," 11,50,00,000.00 "
Money Market1,United States,USA,NAMR,NORTH AMERICA,Port_MM1,Fold_MM6,FolderMM6,Barclays London,Loan,LD,USD,02/08/16,04/08/16,04/08/18," 1,50,00,000.00 ",Floating,NA,USD3M,Quaterly," 1,50,00,000.00 "
Money Market1,United States,USA,NAMR,NORTH AMERICA,Port_MM1,Fold_MM6,FolderMM6,Deutsche Bank,Loan,LD,USD,03/08/16,05/08/16,05/08/19," 9,90,00,000.00 ",Fixed,6,NA,Semi_Annual," 9,90,00,000.00 "
Money Market1,United States,USA,NAMR,NORTH AMERICA,Port_MM1,Fold_MM6,FolderMM6,Aerol’neas Argentinas,Deposit,LD,USD,10/08/16,12/08/16,13/08/18," 8,50,00,000.00 ",FLoating,NA,USD1Y,Annual," 8,50,00,000.00 "
Money Market5,Argentina,ARG,SAMR,SOUTH AMERICA,Port_MM5,Fold_MM5,FolderMM5,Bank Central Asia,Loan,LD,USD,01/08/16,03/08/16,03/05/17," 10,60,00,000.00 ",Floating,NA,USD6M,Semi_Annual," 10,60,00,000.00 "
Money Market5,Argentina,ARG,SAMR,SOUTH AMERICA,Port_MM5,Fold_MM5,FolderMM5,Aerol’neas Argentinas,Loan,LD,USD,02/08/16,04/08/16,04/08/18," 1,00,00,000.00 ",Floating,NA,USD6M,Semi_Annual," 1,00,00,000.00 "
Money Market5,Argentina,ARG,SAMR,SOUTH AMERICA,Port_MM5,Fold_MM5,FolderMM5,Hitachi,Deposit,LD,USD,03/08/16,05/08/16,05/08/19," 2,50,00,000.00 ",Fixed,6,NA,Annual," 2,50,00,000.00 "
Money Market5,Argentina,ARG,SAMR,SOUTH AMERICA,Port_MM5,Fold_MM5,FolderMM5,Deutsche Bank,Loan,LD,USD,10/08/16,12/08/16,12/08/18," 3,00,00,000.00 ",Fixed,5.25,NA,Quaterly," 3,00,00,000.00 "
Money Market4,Brazil,BRA,SAMR,SOUTH AMERICA,Port_MM4,Fold_MM4,FolderMM4,Government of Japan,Loan,LD,USD,01/08/16,03/08/16,03/05/17," 9,90,00,000.00 ",Fixed,3.75,NA,Semi_Annual," 9,90,00,000.00 "
Money Market4,Brazil,BRA,SAMR,SOUTH AMERICA,Port_MM4,Fold_MM4,FolderMM4,Bosch,Loan,LD,USD,02/08/16,04/08/16,04/08/17," 2,50,00,000.00 ",Fixed,4.5,NA,Annual," 2,50,00,000.00 "
Money Market4,Brazil,BRA,SAMR,SOUTH AMERICA,Port_MM4,Fold_MM4,FolderMM4,Vita,Loan,LD,CAD,03/08/16,05/08/16,05/08/19," 9,00,00,000.00 ",FLoating,NA,CAD-3M,Quaterly," 11,60,84,096.48 "
Money Market4,Brazil,BRA,SAMR,SOUTH AMERICA,Port_MM4,Fold_MM4,FolderMM4,Vita,Loan,LD,USD,03/08/16,05/08/16,05/08/17," 7,50,00,000.00 ",Floating,NA,USD3M,Quaterly," 7,50,00,000.00 "
Money Market3,Canada,CAN,NAMR,NORTH AMERICA,Port_MM3,Fold_MM3,FolderMM3,Default_Cpty,Loan,LD,USD,01/08/16,03/08/16,03/08/17," 9,00,00,000.00 ",Fixed,5.5,NA,Semi_Annual," 9,00,00,000.00 "
Money Market3,Canada,CAN,NAMR,NORTH AMERICA,Port_MM3,Fold_MM3,FolderMM3,Deutsche Bank,Loan,LD,USD,02/08/16,04/08/16,04/08/17," 9,70,00,000.00 ",Fixed,5,NA,Annual," 9,70,00,000.00 "
Money Market3,Canada,CAN,NAMR,NORTH AMERICA,Port_MM3,Fold_MM3,FolderMM3,Bank Central Asia,Loan,LD,USD,03/08/16,05/08/16,05/08/19," 9,50,00,000.00 ",Fixed,6.5,NA,Annual," 9,50,00,000.00 "
Money Market3,Canada,CAN,NAMR,NORTH AMERICA,Port_MM3,Fold_MM3,FolderMM3,Barclays London,Loan,LD,USD,03/08/16,05/08/16,05/08/17," 5,00,00,000.00 ",Floating,NA,USD3M,Quaterly," 5,00,00,000.00 "
Money Market2,India,IND,APAC,ASIA PACIFIC,Port_MM2,Fold_MM2,FolderMM2,Softzen,Loan,LD,USD,01/08/16,03/08/16,03/08/17," 11,50,00,000.00 ",Floating,NA,USD3M,Quaterly," 11,50,00,000.00 "
Money Market2,India,IND,APAC,ASIA PACIFIC,Port_MM2,Fold_MM2,FolderMM2,Bank Central Asia,Loan,LD,USD,02/08/16,04/08/16,04/08/17," 9,70,00,000.00 ",Fixed,4,NA,Quaterly," 9,70,00,000.00 "
Money Market2,India,IND,APAC,ASIA PACIFIC,Port_MM2,Fold_MM2,FolderMM2,Reliance,Loan,LD,USD,03/08/16,05/08/16,05/08/19," 10,00,00,000.00 ",Floating,NA,USD3M,Quaterly," 10,00,00,000.00 "
Money Market2,India,IND,APAC,ASIA PACIFIC,Port_MM2,Fold_MM2,FolderMM2,Magix,Loan,LD,USD,03/08/16,05/08/16,05/08/17," 2,00,00,000.00 ",Fixed,5.5,NA,Quaterly," 2,00,00,000.00 "
Money Market5,Argentina,ARG,SAMR,SOUTH AMERICA,Port_MM5,Fold_MM10,FolderMM10,Default_Cpty,Loan,LD,USD,02/08/16,04/08/16,04/08/17," 9,50,00,000.00 ",Fixed,5.75,NA,Quaterly," 9,50,00,000.00 "
Money Market5,Argentina,ARG,SAMR,SOUTH AMERICA,Port_MM5,Fold_MM10,FolderMM10,Magix,Loan,LD,USD,03/08/16,05/08/16,05/08/19," 9,90,00,000.00 ",Fixed,6.75,NA,Annual," 9,90,00,000.00 "
Money Market5,Argentina,ARG,SAMR,SOUTH AMERICA,Port_MM5,Fold_MM10,FolderMM10,Deutsche Bank,Loan,LD,USD,03/08/16,05/08/16,05/08/18," 2,50,00,000.00 ",FLoating,NA,USD6M,Semi_Annual," 2,50,00,000.00 "
Money Market5,Argentina,ARG,SAMR,SOUTH AMERICA,Port_MM5,Fold_MM10,FolderMM10,Capgemini,Loan,LD,USD,10/08/16,12/08/16,17/08/18," 5,00,00,000.00 ",Floating,NA,USD6M,Semi_Annual," 5,00,00,000.00 "
Money Market1,United States,USA,NAMR,NORTH AMERICA,Port_MM1,Fold_MM1,FolderMM1,Bosch,Loan,LD,USD,01/08/16,03/08/16,03/08/17," 2,50,00,000.00 ",Fixed,4.5,NA,Semi_Annual," 2,50,00,000.00 "
Money Market1,United States,USA,NAMR,NORTH AMERICA,Port_MM1,Fold_MM1,FolderMM1,Government of Japan,Loan,LD,USD,02/08/16,04/08/16,04/08/17," 5,00,00,000.00 ",Floating,NA,USD6M,Semi_Annual," 5,00,00,000.00 "
Money Market1,United States,USA,NAMR,NORTH AMERICA,Port_MM1,Fold_MM1,FolderMM1,Barclays London,Loan,LD,USD,03/08/16,05/08/16,05/08/19," 5,00,00,000.00 ",Floating,NA,USD6M,Semi_Annual," 5,00,00,000.00 "
Money Market1,United States,USA,NAMR,NORTH AMERICA,Port_MM1,Fold_MM1,FolderMM1,Bosch,Deposit,LD,CHF,03/08/16,05/08/16,05/08/17," 1,50,00,000.00 ",Fixed,5.25,NA,Semi_Annual," 1,45,12,383.90 "
